rank,brandName,productName,finalPrice,discountRatio,url
1,워크온바디오프,[기모/사계절] 릴렉스 세미 와이드 데님 팬츠 (5color),25920,61,https://www.musinsa.com/products/5717317
2,엘무드,페이즈 텐셀 트러커 자켓 카키,216000,10,https://www.musinsa.com/products/6034176
3,노스페이스,빅샷 25L/30L (3 color),147250,5,https://www.musinsa.com/products/5920951
4,쿠어,고트스킨 블루종 (블랙),522000,10,https://www.musinsa.com/products/5937694
5,스탠드오일,Velow Bag · 벨로우백,119000,0,https://www.musinsa.com/products/5303309
6,스컬프터,Cross Stud Strap Wallet Pink,98100,10,https://www.musinsa.com/products/5909873
7,에이티즈,ATEEZ(에이티즈) [GOLDEN HOUR : Part.4] (DIARY VER.),18600,0,https://www.musinsa.com/products/5968439
8,엘무드,세인트 램스킨 레더 보머 자켓 블랙,535500,10,https://www.musinsa.com/products/5316905
9,탄산마그네슘,마운틴 롱슬리브 (화이트/레드),39330,43,https://www.musinsa.com/products/5432652
10,무신사 스탠다드 우먼,우먼즈 신세틱 스웨이드 하이넥 블루종 재킷 [브라운],129900,0,https://www.musinsa.com/products/5151474
11,디미트리블랙,[기모선택] VLAD 원턱 커브드 트랙 스웻 팬츠_피그먼트 차콜,27990,26,https://www.musinsa.com/products/5367961
12,수아레,데일리 헨리넥 니트 - 5 COLOR,29900,49,https://www.musinsa.com/products/5453617
13,나이키,ACG 라바 플로우 써마 핏 ADV 재킷 M - 블랙:서밋 화이트 / HJ3736-010,230300,30,https://www.musinsa.com/products/5502933
14,알리스,[데일리룸X알리스] 페이디드 그레인 코튼 블루종 자켓 [빈티지그레이],115460,30,https://www.musinsa.com/products/5386037
15,에이티즈,ATEEZ(에이티즈) [GOLDEN HOUR : Part.4] (A VER.),18600,0,https://www.musinsa.com/products/5968160
16,텍스,TX304 커브드 배기 벌룬 데님 (블랙),34000,60,https://www.musinsa.com/products/5682006
17,보다나,하트밤 3Color,22900,8,https://www.musinsa.com/products/5812264
18,헬리녹스 웨어,이클립스 라이트팩 15/20L (4 color),133200,10,https://www.musinsa.com/products/6016515
19,디마프,히어로 마이 퍼스트 세럼 a.k.a. 만능기초 155ml,20400,40,https://www.musinsa.com/products/5367381
